PING 10.0.1.2 (10.0.1.2) 56(84) bytes of data.
64 bytes from 10.0.1.2: icmp_seq=1 ttl=64 time=63.1 ms
64 bytes from 10.0.1.2: icmp_seq=2 ttl=64 time=6.12 ms
64 bytes from 10.0.1.2: icmp_seq=3 ttl=64 time=6.47 ms
64 bytes from 10.0.1.2: icmp_seq=4 ttl=64 time=5.20 ms
64 bytes from 10.0.1.2: icmp_seq=5 ttl=64 time=5.69 ms
64 bytes from 10.0.1.2: icmp_seq=6 ttl=64 time=6.29 ms
64 bytes from 10.0.1.2: icmp_seq=7 ttl=64 time=4.29 ms
64 bytes from 10.0.1.2: icmp_seq=8 ttl=64 time=4.60 ms
64 bytes from 10.0.1.2: icmp_seq=9 ttl=64 time=4.71 ms
64 bytes from 10.0.1.2: icmp_seq=10 ttl=64 time=4.05 ms
64 bytes from 10.0.1.2: icmp_seq=11 ttl=64 time=5.89 ms
64 bytes from 10.0.1.2: icmp_seq=12 ttl=64 time=4.29 ms
64 bytes from 10.0.1.2: icmp_seq=13 ttl=64 time=4.10 ms
64 bytes from 10.0.1.2: icmp_seq=14 ttl=64 time=4.58 ms
64 bytes from 10.0.1.2: icmp_seq=15 ttl=64 time=4.30 ms
64 bytes from 10.0.1.2: icmp_seq=16 ttl=64 time=4.72 ms
64 bytes from 10.0.1.2: icmp_seq=17 ttl=64 time=3.74 ms
64 bytes from 10.0.1.2: icmp_seq=18 ttl=64 time=4.47 ms
64 bytes from 10.0.1.2: icmp_seq=19 ttl=64 time=3.92 ms
64 bytes from 10.0.1.2: icmp_seq=20 ttl=64 time=4.58 ms
64 bytes from 10.0.1.2: icmp_seq=21 ttl=64 time=5.95 ms
64 bytes from 10.0.1.2: icmp_seq=22 ttl=64 time=4.92 ms
64 bytes from 10.0.1.2: icmp_seq=23 ttl=64 time=4.32 ms
64 bytes from 10.0.1.2: icmp_seq=24 ttl=64 time=5.92 ms
64 bytes from 10.0.1.2: icmp_seq=25 ttl=64 time=4.00 ms
64 bytes from 10.0.1.2: icmp_seq=26 ttl=64 time=6.51 ms
64 bytes from 10.0.1.2: icmp_seq=27 ttl=64 time=4.47 ms
64 bytes from 10.0.1.2: icmp_seq=28 ttl=64 time=5.11 ms
64 bytes from 10.0.1.2: icmp_seq=29 ttl=64 time=5.41 ms
64 bytes from 10.0.1.2: icmp_seq=30 ttl=64 time=4.22 ms
64 bytes from 10.0.1.2: icmp_seq=31 ttl=64 time=6.07 ms
64 bytes from 10.0.1.2: icmp_seq=32 ttl=64 time=5.46 ms
64 bytes from 10.0.1.2: icmp_seq=33 ttl=64 time=4.06 ms
64 bytes from 10.0.1.2: icmp_seq=34 ttl=64 time=5.19 ms
64 bytes from 10.0.1.2: icmp_seq=35 ttl=64 time=4.43 ms
64 bytes from 10.0.1.2: icmp_seq=36 ttl=64 time=5.27 ms
64 bytes from 10.0.1.2: icmp_seq=37 ttl=64 time=6.79 ms
64 bytes from 10.0.1.2: icmp_seq=38 ttl=64 time=3.69 ms
64 bytes from 10.0.1.2: icmp_seq=39 ttl=64 time=6.36 ms
64 bytes from 10.0.1.2: icmp_seq=40 ttl=64 time=3.86 ms
64 bytes from 10.0.1.2: icmp_seq=41 ttl=64 time=4.35 ms
64 bytes from 10.0.1.2: icmp_seq=42 ttl=64 time=4.19 ms
64 bytes from 10.0.1.2: icmp_seq=43 ttl=64 time=3.69 ms
64 bytes from 10.0.1.2: icmp_seq=44 ttl=64 time=3.75 ms
64 bytes from 10.0.1.2: icmp_seq=45 ttl=64 time=3.74 ms
64 bytes from 10.0.1.2: icmp_seq=46 ttl=64 time=5.88 ms
64 bytes from 10.0.1.2: icmp_seq=47 ttl=64 time=3.86 ms
64 bytes from 10.0.1.2: icmp_seq=48 ttl=64 time=3.96 ms
64 bytes from 10.0.1.2: icmp_seq=49 ttl=64 time=3.61 ms

--- 10.0.1.2 ping statistics ---
49 packets transmitted, 49 received, 0% packet loss, time 48100ms
rtt min/avg/max/mdev = 3.617/6.008/63.171/8.300 ms
