PING 10.0.1.2 (10.0.1.2) 56(84) bytes of data.
64 bytes from 10.0.1.2: icmp_seq=1 ttl=64 time=8.29 ms
64 bytes from 10.0.1.2: icmp_seq=2 ttl=64 time=4.40 ms
64 bytes from 10.0.1.2: icmp_seq=3 ttl=64 time=3.92 ms
64 bytes from 10.0.1.2: icmp_seq=4 ttl=64 time=4.77 ms
64 bytes from 10.0.1.2: icmp_seq=5 ttl=64 time=4.02 ms
64 bytes from 10.0.1.2: icmp_seq=6 ttl=64 time=82.8 ms
64 bytes from 10.0.1.2: icmp_seq=7 ttl=64 time=3.70 ms
64 bytes from 10.0.1.2: icmp_seq=8 ttl=64 time=4.64 ms
64 bytes from 10.0.1.2: icmp_seq=9 ttl=64 time=5.66 ms
64 bytes from 10.0.1.2: icmp_seq=10 ttl=64 time=4.15 ms
64 bytes from 10.0.1.2: icmp_seq=11 ttl=64 time=4.79 ms
64 bytes from 10.0.1.2: icmp_seq=12 ttl=64 time=4.01 ms
64 bytes from 10.0.1.2: icmp_seq=13 ttl=64 time=4.39 ms
64 bytes from 10.0.1.2: icmp_seq=14 ttl=64 time=6.39 ms
64 bytes from 10.0.1.2: icmp_seq=15 ttl=64 time=4.07 ms
64 bytes from 10.0.1.2: icmp_seq=16 ttl=64 time=7.64 ms
64 bytes from 10.0.1.2: icmp_seq=17 ttl=64 time=4.04 ms
64 bytes from 10.0.1.2: icmp_seq=18 ttl=64 time=4.86 ms
64 bytes from 10.0.1.2: icmp_seq=19 ttl=64 time=4.28 ms
64 bytes from 10.0.1.2: icmp_seq=20 ttl=64 time=4.76 ms
64 bytes from 10.0.1.2: icmp_seq=21 ttl=64 time=5.74 ms
64 bytes from 10.0.1.2: icmp_seq=22 ttl=64 time=4.77 ms
64 bytes from 10.0.1.2: icmp_seq=23 ttl=64 time=4.67 ms
64 bytes from 10.0.1.2: icmp_seq=24 ttl=64 time=3.97 ms
64 bytes from 10.0.1.2: icmp_seq=25 ttl=64 time=4.50 ms
64 bytes from 10.0.1.2: icmp_seq=26 ttl=64 time=7.01 ms
64 bytes from 10.0.1.2: icmp_seq=27 ttl=64 time=4.21 ms
64 bytes from 10.0.1.2: icmp_seq=28 ttl=64 time=4.78 ms
64 bytes from 10.0.1.2: icmp_seq=29 ttl=64 time=4.05 ms
64 bytes from 10.0.1.2: icmp_seq=30 ttl=64 time=4.08 ms
64 bytes from 10.0.1.2: icmp_seq=31 ttl=64 time=6.07 ms
64 bytes from 10.0.1.2: icmp_seq=32 ttl=64 time=4.72 ms
64 bytes from 10.0.1.2: icmp_seq=33 ttl=64 time=4.71 ms
64 bytes from 10.0.1.2: icmp_seq=34 ttl=64 time=4.36 ms
64 bytes from 10.0.1.2: icmp_seq=35 ttl=64 time=3.87 ms
64 bytes from 10.0.1.2: icmp_seq=36 ttl=64 time=10.8 ms
64 bytes from 10.0.1.2: icmp_seq=37 ttl=64 time=4.29 ms
64 bytes from 10.0.1.2: icmp_seq=38 ttl=64 time=4.01 ms
64 bytes from 10.0.1.2: icmp_seq=39 ttl=64 time=3.68 ms
64 bytes from 10.0.1.2: icmp_seq=40 ttl=64 time=4.08 ms
64 bytes from 10.0.1.2: icmp_seq=41 ttl=64 time=6.15 ms
64 bytes from 10.0.1.2: icmp_seq=42 ttl=64 time=4.58 ms
64 bytes from 10.0.1.2: icmp_seq=43 ttl=64 time=4.97 ms
64 bytes from 10.0.1.2: icmp_seq=44 ttl=64 time=4.64 ms
64 bytes from 10.0.1.2: icmp_seq=45 ttl=64 time=3.75 ms
64 bytes from 10.0.1.2: icmp_seq=46 ttl=64 time=62.1 ms
64 bytes from 10.0.1.2: icmp_seq=47 ttl=64 time=4.65 ms
64 bytes from 10.0.1.2: icmp_seq=48 ttl=64 time=6.10 ms
64 bytes from 10.0.1.2: icmp_seq=49 ttl=64 time=4.26 ms
64 bytes from 10.0.1.2: icmp_seq=50 ttl=64 time=4.71 ms
64 bytes from 10.0.1.2: icmp_seq=51 ttl=64 time=8.58 ms
64 bytes from 10.0.1.2: icmp_seq=52 ttl=64 time=4.03 ms
64 bytes from 10.0.1.2: icmp_seq=53 ttl=64 time=4.05 ms
64 bytes from 10.0.1.2: icmp_seq=54 ttl=64 time=3.86 ms
64 bytes from 10.0.1.2: icmp_seq=55 ttl=64 time=4.49 ms
64 bytes from 10.0.1.2: icmp_seq=56 ttl=64 time=4.91 ms
64 bytes from 10.0.1.2: icmp_seq=57 ttl=64 time=4.09 ms
64 bytes from 10.0.1.2: icmp_seq=58 ttl=64 time=4.20 ms
64 bytes from 10.0.1.2: icmp_seq=59 ttl=64 time=4.06 ms
64 bytes from 10.0.1.2: icmp_seq=60 ttl=64 time=4.85 ms
64 bytes from 10.0.1.2: icmp_seq=61 ttl=64 time=7.19 ms
64 bytes from 10.0.1.2: icmp_seq=62 ttl=64 time=4.48 ms
64 bytes from 10.0.1.2: icmp_seq=63 ttl=64 time=4.13 ms
64 bytes from 10.0.1.2: icmp_seq=64 ttl=64 time=4.60 ms
64 bytes from 10.0.1.2: icmp_seq=65 ttl=64 time=4.91 ms
64 bytes from 10.0.1.2: icmp_seq=66 ttl=64 time=6.74 ms
64 bytes from 10.0.1.2: icmp_seq=67 ttl=64 time=4.25 ms
64 bytes from 10.0.1.2: icmp_seq=68 ttl=64 time=3.89 ms
64 bytes from 10.0.1.2: icmp_seq=69 ttl=64 time=3.98 ms
64 bytes from 10.0.1.2: icmp_seq=70 ttl=64 time=4.52 ms
64 bytes from 10.0.1.2: icmp_seq=71 ttl=64 time=7.61 ms
64 bytes from 10.0.1.2: icmp_seq=72 ttl=64 time=3.78 ms
64 bytes from 10.0.1.2: icmp_seq=73 ttl=64 time=4.11 ms
64 bytes from 10.0.1.2: icmp_seq=74 ttl=64 time=4.43 ms
64 bytes from 10.0.1.2: icmp_seq=75 ttl=64 time=4.00 ms
64 bytes from 10.0.1.2: icmp_seq=76 ttl=64 time=5.12 ms
64 bytes from 10.0.1.2: icmp_seq=77 ttl=64 time=5.19 ms
64 bytes from 10.0.1.2: icmp_seq=78 ttl=64 time=4.73 ms
64 bytes from 10.0.1.2: icmp_seq=79 ttl=64 time=3.99 ms
64 bytes from 10.0.1.2: icmp_seq=80 ttl=64 time=4.58 ms
64 bytes from 10.0.1.2: icmp_seq=81 ttl=64 time=88.2 ms
64 bytes from 10.0.1.2: icmp_seq=82 ttl=64 time=4.53 ms
64 bytes from 10.0.1.2: icmp_seq=83 ttl=64 time=5.20 ms
64 bytes from 10.0.1.2: icmp_seq=84 ttl=64 time=4.24 ms
64 bytes from 10.0.1.2: icmp_seq=85 ttl=64 time=4.30 ms
64 bytes from 10.0.1.2: icmp_seq=86 ttl=64 time=7.61 ms
64 bytes from 10.0.1.2: icmp_seq=87 ttl=64 time=4.66 ms
64 bytes from 10.0.1.2: icmp_seq=88 ttl=64 time=4.86 ms
64 bytes from 10.0.1.2: icmp_seq=89 ttl=64 time=6.46 ms
64 bytes from 10.0.1.2: icmp_seq=90 ttl=64 time=4.74 ms
64 bytes from 10.0.1.2: icmp_seq=91 ttl=64 time=7.83 ms
64 bytes from 10.0.1.2: icmp_seq=92 ttl=64 time=5.64 ms
64 bytes from 10.0.1.2: icmp_seq=93 ttl=64 time=5.13 ms
64 bytes from 10.0.1.2: icmp_seq=94 ttl=64 time=7.16 ms
64 bytes from 10.0.1.2: icmp_seq=95 ttl=64 time=6.21 ms

--- 10.0.1.2 ping statistics ---
95 packets transmitted, 95 received, 0% packet loss, time 94170ms
rtt min/avg/max/mdev = 3.683/7.269/88.212/12.944 ms
