PING 10.0.1.2 (10.0.1.2) 56(84) bytes of data.
64 bytes from 10.0.1.2: icmp_seq=1 ttl=64 time=6.57 ms
64 bytes from 10.0.1.2: icmp_seq=2 ttl=64 time=3.46 ms
64 bytes from 10.0.1.2: icmp_seq=3 ttl=64 time=2.11 ms
64 bytes from 10.0.1.2: icmp_seq=4 ttl=64 time=2.15 ms
64 bytes from 10.0.1.2: icmp_seq=5 ttl=64 time=4.24 ms
64 bytes from 10.0.1.2: icmp_seq=6 ttl=64 time=2.46 ms
64 bytes from 10.0.1.2: icmp_seq=7 ttl=64 time=2.53 ms
64 bytes from 10.0.1.2: icmp_seq=8 ttl=64 time=5.44 ms
64 bytes from 10.0.1.2: icmp_seq=9 ttl=64 time=4.77 ms
64 bytes from 10.0.1.2: icmp_seq=10 ttl=64 time=1.60 ms
64 bytes from 10.0.1.2: icmp_seq=11 ttl=64 time=6.14 ms
64 bytes from 10.0.1.2: icmp_seq=12 ttl=64 time=2.87 ms
64 bytes from 10.0.1.2: icmp_seq=13 ttl=64 time=1.82 ms
64 bytes from 10.0.1.2: icmp_seq=14 ttl=64 time=4.37 ms
64 bytes from 10.0.1.2: icmp_seq=15 ttl=64 time=4.34 ms
64 bytes from 10.0.1.2: icmp_seq=16 ttl=64 time=3.82 ms
64 bytes from 10.0.1.2: icmp_seq=17 ttl=64 time=4.90 ms
64 bytes from 10.0.1.2: icmp_seq=18 ttl=64 time=3.58 ms
64 bytes from 10.0.1.2: icmp_seq=19 ttl=64 time=3.83 ms
64 bytes from 10.0.1.2: icmp_seq=20 ttl=64 time=2.29 ms
64 bytes from 10.0.1.2: icmp_seq=21 ttl=64 time=4.01 ms
64 bytes from 10.0.1.2: icmp_seq=22 ttl=64 time=4.63 ms
64 bytes from 10.0.1.2: icmp_seq=23 ttl=64 time=4.08 ms
64 bytes from 10.0.1.2: icmp_seq=24 ttl=64 time=3.69 ms
64 bytes from 10.0.1.2: icmp_seq=25 ttl=64 time=3.75 ms
64 bytes from 10.0.1.2: icmp_seq=26 ttl=64 time=3.67 ms
64 bytes from 10.0.1.2: icmp_seq=27 ttl=64 time=5.00 ms
64 bytes from 10.0.1.2: icmp_seq=28 ttl=64 time=4.04 ms
64 bytes from 10.0.1.2: icmp_seq=29 ttl=64 time=4.75 ms
64 bytes from 10.0.1.2: icmp_seq=30 ttl=64 time=3.55 ms
64 bytes from 10.0.1.2: icmp_seq=31 ttl=64 time=4.73 ms
64 bytes from 10.0.1.2: icmp_seq=32 ttl=64 time=5.34 ms
64 bytes from 10.0.1.2: icmp_seq=33 ttl=64 time=5.18 ms
64 bytes from 10.0.1.2: icmp_seq=34 ttl=64 time=4.21 ms
64 bytes from 10.0.1.2: icmp_seq=35 ttl=64 time=6.16 ms
64 bytes from 10.0.1.2: icmp_seq=36 ttl=64 time=4.86 ms
64 bytes from 10.0.1.2: icmp_seq=37 ttl=64 time=4.56 ms
64 bytes from 10.0.1.2: icmp_seq=38 ttl=64 time=4.41 ms
64 bytes from 10.0.1.2: icmp_seq=39 ttl=64 time=5.09 ms

--- 10.0.1.2 ping statistics ---
39 packets transmitted, 39 received, 0% packet loss, time 38066ms
rtt min/avg/max/mdev = 1.600/4.081/6.575/1.185 ms
