PING 10.0.2.2 (10.0.2.2) 56(84) bytes of data.
64 bytes from 10.0.2.2: icmp_seq=1 ttl=63 time=3.54 ms
64 bytes from 10.0.2.2: icmp_seq=2 ttl=63 time=3.39 ms
64 bytes from 10.0.2.2: icmp_seq=3 ttl=63 time=3.59 ms
64 bytes from 10.0.2.2: icmp_seq=4 ttl=63 time=3.55 ms
64 bytes from 10.0.2.2: icmp_seq=5 ttl=63 time=3.52 ms
64 bytes from 10.0.2.2: icmp_seq=6 ttl=63 time=5.10 ms
64 bytes from 10.0.2.2: icmp_seq=7 ttl=63 time=3.29 ms
64 bytes from 10.0.2.2: icmp_seq=8 ttl=63 time=3.70 ms
64 bytes from 10.0.2.2: icmp_seq=9 ttl=63 time=3.42 ms
64 bytes from 10.0.2.2: icmp_seq=10 ttl=63 time=3.51 ms
64 bytes from 10.0.2.2: icmp_seq=11 ttl=63 time=4.17 ms
64 bytes from 10.0.2.2: icmp_seq=12 ttl=63 time=3.81 ms
64 bytes from 10.0.2.2: icmp_seq=13 ttl=63 time=3.57 ms
64 bytes from 10.0.2.2: icmp_seq=14 ttl=63 time=3.45 ms
64 bytes from 10.0.2.2: icmp_seq=15 ttl=63 time=3.32 ms
64 bytes from 10.0.2.2: icmp_seq=16 ttl=63 time=3.73 ms
64 bytes from 10.0.2.2: icmp_seq=17 ttl=63 time=3.74 ms
64 bytes from 10.0.2.2: icmp_seq=18 ttl=63 time=3.42 ms
64 bytes from 10.0.2.2: icmp_seq=19 ttl=63 time=3.34 ms
64 bytes from 10.0.2.2: icmp_seq=20 ttl=63 time=3.34 ms
64 bytes from 10.0.2.2: icmp_seq=21 ttl=63 time=3.87 ms
64 bytes from 10.0.2.2: icmp_seq=22 ttl=63 time=3.38 ms
64 bytes from 10.0.2.2: icmp_seq=23 ttl=63 time=3.42 ms
64 bytes from 10.0.2.2: icmp_seq=24 ttl=63 time=3.29 ms
64 bytes from 10.0.2.2: icmp_seq=25 ttl=63 time=3.49 ms
64 bytes from 10.0.2.2: icmp_seq=26 ttl=63 time=3.69 ms
64 bytes from 10.0.2.2: icmp_seq=27 ttl=63 time=3.30 ms
64 bytes from 10.0.2.2: icmp_seq=28 ttl=63 time=3.36 ms
64 bytes from 10.0.2.2: icmp_seq=29 ttl=63 time=3.35 ms
